,,,,,,,,,,,,,,Alt text for submission,"Optional long description or review note for complex figures, diagrams, or charts"
ID,Language,Part / Section,Unit,Chapter / Contribution Title,Source Markdown,Line,Figure No.,Caption / Figure Title,Markdown Alt,Image File,Image Exists,Dimensions,Format,Alt Text for Submission,Long Description / Review Note
ALT-0001,en,Front Matter,FrontMatter,Front-Matter Guide: Publication Structure and Reading Paths,docs/en/front_matter_guide.md,7,,"Book architecture of Data Engineering for Large Foundation Models, showing the data lifecycle, foundation layer, data collection and processing layer, cross-cutting capabilities, model alignment and capability enhancement layer, application governance layer, security and specialized practice layer, project case layer, DataOps flywheel, and platform support capabilities","Book architecture of Data Engineering for Large Foundation Models, showing the data lifecycle, foundation layer, data collection and processing layer, cross-cutting capabilities, model alignment and capability enhancement layer, application governance layer, security and specialized practice layer, project case layer, DataOps flywheel, and platform support capabilities",docs/images/Yu-FrontMatter-Fig02-EN.png,yes,1536x1024,png,"Book structure diagram for Large Model Data Engineering, organizing 14 parts, 48 chapters, 15 projects, and 8 appendices into five sections: foundations, data production, applications and operations, governance and specialized topics, and delivery and implementation.",
ALT-0002,en,Part 1: Overview and Infrastructure,Ch01,Chapter 1: The Data Revolution in the Era of Large Models,docs/en/part1/ch01_data_change.md,153,2026-01-01T00:00:00,"Figure 1-1: LLM-Era Data Engineering Role Restructuring Diagram, showing the closed-loop interfaces among platform, data, algorithms, annotation, product, and compliance roles","Figure 1-1: LLM-Era Data Engineering Role Restructuring Diagram, showing the closed-loop interfaces among platform, data, algorithms, annotation, product, and compliance roles",docs/images/part1/Yu-Chap01-Fig01.svg,yes,768x768,svg,"LLM-era data engineering role restructuring diagram showing a continuous data flywheel. It depicts the closed-loop interfaces among six core roles: platform architecture, data collection, algorithms, annotation, product, and compliance. The loop illustrates how online negative-feedback signals are collected, cleaned, and annotated into preference sets for RLHF, which then improves the model to generate higher-quality feedback.",
ALT-0003,en,Part 1: Overview and Infrastructure,Ch01,Chapter 1: The Data Revolution in the Era of Large Models,docs/en/part1/ch01_data_change.md,226,2026-01-02T00:00:00,"Figure 1-2: Full Fourteen-Part Lifecycle Map, showing the knowledge structure spanning general principles, pretraining, multimodal, alignment, applications, platform, compliance, and hands-on projects","Figure 1-2: Full Fourteen-Part Lifecycle Map, showing the knowledge structure spanning general principles, pretraining, multimodal, alignment, applications, platform, compliance, and hands-on projects",docs/images/part1/Yu-Chap01-Fig02.svg,yes,768x708,svg,"Full fourteen-part lifecycle map of LLM data engineering. The map uses infrastructure as its foundational layer, sequentially threading through subsequent stages including pretraining, multimodal data processing, alignment, and applications. It is supported by cross-cutting domains like platform governance and compliance, culminating in hands-on practical projects, representing a comprehensive systems-engineering knowledge structure.",
ALT-0004,en,Part 1: Overview and Infrastructure,Ch02,Chapter 2: LLM Data Lifecycle and Quality Evaluation Framework,docs/en/part1/ch02_quality_framework.md,104,2026-02-01T00:00:00,"Figure 2-1: Multi-dimensional quality layering architecture from a lifecycle perspective, showing how metric weights shift across stages from scale and diversity toward truthfulness and helpfulness","Figure 2-1: Multi-dimensional quality layering architecture from a lifecycle perspective, showing how metric weights shift across stages from scale and diversity toward truthfulness and helpfulness",docs/images/part1/Yu-Chap02-Fig01.svg,yes,768x768,svg,"Multi-dimensional quality layering architecture diagram from a data lifecycle perspective. The upper section displays a horizontal four-stage pipeline—pre-training, SFT, RLHF/DPO, and RAG application—each highlighting how metric weights shift from scale and diversity toward truthfulness, helpfulness, and traceability. The lower section features a triangular mapping structure demonstrating the bidirectional relationships and feedback loops among offline data quality, proxy model evaluation, and real-world online business metrics.",
ALT-0005,en,Part 1: Overview and Infrastructure,Ch02,Chapter 2: LLM Data Lifecycle and Quality Evaluation Framework,docs/en/part1/ch02_quality_framework.md,148,2026-02-02T00:00:00,"Figure 2-2: Cross-mapping diagram of large language model data defects and quality metrics, showing the relationships between six defect classes and accuracy, consistency, diversity, coverage, and traceability","Figure 2-2: Cross-mapping diagram of large language model data defects and quality metrics, showing the relationships between six defect classes and accuracy, consistency, diversity, coverage, and traceability",docs/images/part1/Yu-Chap02-Fig02.svg,yes,768x768,svg,"A 6-by-5 cross-mapping matrix diagram correlating large language model data defects with quality metrics. The matrix rows list six core defect classes: noise, repetition, benchmark contamination, systematic bias, structural incompleteness, and staleness. The columns list five key quality metrics: accuracy, consistency, diversity, coverage, and traceability. The intersection cells use a filled circle to indicate a strong impact, a half circle for medium impact, and an empty circle for weak impact.",
ALT-0006,en,Part 1: Overview and Infrastructure,Ch02,Chapter 2: LLM Data Lifecycle and Quality Evaluation Framework,docs/en/part1/ch02_quality_framework.md,299,2026-02-03T00:00:00,"Figure 2-3: Automated blocking and governance flow driven by the data scorecard, showing hard gates, soft gates, manual review, and rollback actions","Figure 2-3: Automated blocking and governance flow driven by the data scorecard, showing hard gates, soft gates, manual review, and rollback actions",docs/images/part1/Yu-Chap02-Fig03.svg,yes,768x634,svg,"Automated blocking and governance flowchart driven by the data release scorecard. The diagram illustrates a closed-loop quality assessment framework featuring sequential hard gates, soft gates, manual review triggers, and rollback actions. These integrated components collectively act as automated quality gates to identify and block contaminated or degraded data samples before they enter the training pipeline.",
ALT-0007,en,Part 1: Overview and Infrastructure,Ch03,Chapter 3: AI-Native Data Stack and Cost Governance,docs/en/part1/ch03_data_stack.md,72,2026-03-01T00:00:00,Figure 3-1: Five-layer architecture of an AI-native data stack,Figure 3-1: Five-layer architecture of an AI-native data stack,docs/images/part1/Yu-Chap03-Fig01.svg,yes,768x768,svg,"Five-layer architecture diagram of an AI-native data stack. From bottom to top, the layers are: ingestion and access, processing orchestration, storage and indexing, evaluation operations, and governance and security. The diagram illustrates how these five functional layers interact and jointly move data from distributed raw corpus sources into structured, trainable datasets.",
ALT-0008,en,Part 1: Overview and Infrastructure,Ch03,Chapter 3: AI-Native Data Stack and Cost Governance,docs/en/part1/ch03_data_stack.md,264,2026-03-02T00:00:00,Figure 3-2: Training-data cost-governance loop,Figure 3-2: Training-data cost-governance loop,docs/images/part1/Yu-Chap03-Fig02.svg,yes,768x768,svg,"Training-data cost-governance loop diagram demonstrating a continuous cross-version iteration cycle. The process begins with budget planning, flows through real-time cost monitoring and ROI evaluation, leads to data processing optimization decisions, and returns to budget review. It emphasizes the quantitative feedback loop connecting data engineering ROI, model performance, and operational costs.",
ALT-0009,en,Part 10: Intelligent Data Engineering and Data Engineering Agents,Ch31,Chapter 31: Architecture and Task Boundaries of Data Engineering Agents,docs/en/part10/ch31_agent_architecture.md,122,2026-01-31T00:00:00,Six-layer architecture for data engineering agents,Six-layer architecture for data engineering agents,docs/images/part10/Yu-Chap31-Fig01.svg,yes,16x7.2999997,svg,"A six-layer architecture for data engineering agents, where a user-triggered task enters a decision node and is routed through Planner, Tool Executor, and Verifier components, with Memory and Lineage preserving context and audit trails and rejected actions sent to a Human Gate before any data update is accepted.",
